,номенклатура,средние_продажи_шт,медианные_продажи_шт,различия
181,"водка праздничная 40% 0,5л россия",4819.866666666667,3482.5,1337.3666666666668
198,"водка пять озер премиум 40% 0,5л россия",2470.8333333333335,2125.5,345.3333333333335
95,"водка зимняя дорога 40% 0,5л россия",1950.4333333333334,1660.5,289.9333333333334
5,"водка архангельская северная выдержка 40% 0,5л россия",2867.5666666666666,2579.5,288.0666666666666
34,"водка белуга нобл 40% 0,5л россия",2800.266666666667,2531.0,269.2666666666669
287,"водка царская золотая 40% 0,5л россия",1757.0666666666666,1500.5,256.5666666666666
35,"водка белуга нобл 40% 0,7л россия",1440.535714,1201.5,239.0357140000001
